SUBID,Product Name,Merchant Sale Amount,Cash back,Advertiser Name,AN, Date ,transaction_id
525659344c44e,Arhaus Jewels,100.00,6.00,Arhaus Jewels,Pepper_Jam,11/23/2014,31922438
525659344c44e,Fab,25.95,1.82,Fab,link_share,11/23/2014,FAB02997706
525659344c44e,Fab,66.00,4.62,Fab,link_share,11/23/2014,FAB02997706
525659344c44e,Apparel,185.25,2.97,Chico's,flex_offers,11/23/2014,436670939
525659344c44e,Lolly Wolly Doodle,-25.00,-1.00,Lolly Wolly Doodle,link_share,11/23/2014,110335
525659344c44e,Lolly Wolly Doodle,25.00,1.00,Lolly Wolly Doodle,link_share,11/23/2014,110335
525659344c44e,Home Electronics,129.99,8.32,Brookstone,flex_offers,11/23/2014,438326184
525659344c44e,Internet Services,148.86,11.91,GoDaddy.com,flex_offers,11/23/2014,435984310
525659344c44e,Internet Services,9.99,0.80,GoDaddy.com,flex_offers,11/23/2014,436132331
525659344c44e,Internet Services,12.99,4.16,GoDaddy.com,flex_offers,11/23/2014,436362054
525659344c44e,Shoes,24.99,1.60,Champs Sports,flex_offers,11/23/2014,436959812
525659344c44e,Wireless,0.00,28.00,Flint,flex_offers,11/23/2014,437277476
5277cb3c71beb,macys.com,67.50,2.03,macys.com,link_share,11/23/2014,M1000266244
5277cb3c71beb,"Best Buy Co, Inc.",859.98,34.40,"Best Buy Co, Inc.",link_share,11/23/2014,BBY01-657298060784
5277cb3c71beb,"Best Buy Co, Inc.",119.98,1.20,"Best Buy Co, Inc.",link_share,11/23/2014,BBY01-657298060784
5277cb3c71beb,Department Stores,49.50,6.74,NORDSTROM.com,flex_offers,11/23/2014,434584356
5277cb3c71beb,Department Stores,49.50,6.74,NORDSTROM.com,flex_offers,11/23/2014,434584357
5277cb3c71beb,Department Stores,49.50,6.74,NORDSTROM.com,flex_offers,11/23/2014,434584358
5277cb3c71beb,Department Stores,49.50,6.74,NORDSTROM.com,flex_offers,11/23/2014,434584359
5277cb3c71beb,Department Stores,69.50,9.46,NORDSTROM.com,flex_offers,11/23/2014,434584360
5277cb3c71beb,Department Stores,98.00,13.33,NORDSTROM.com,flex_offers,11/23/2014,434584361
5277cb3c71beb,Department Stores,65.00,8.84,NORDSTROM.com,flex_offers,11/23/2014,434584362
5277cb3c71beb,Department Stores,110.00,14.96,NORDSTROM.com,flex_offers,11/23/2014,434891710
5277cb3c71beb,Department Stores,88.00,11.97,NORDSTROM.com,flex_offers,11/23/2014,434891711
5277cb3c71beb,Department Stores,-69.50,-9.46,NORDSTROM.com,flex_offers,11/23/2014,435027104
5277cb3c71beb,Department Stores,-65.00,-8.84,NORDSTROM.com,flex_offers,11/23/2014,435027105
5277cb3c71beb,GoDaddy.com,,6.10,GoDaddy.com,commission_junction,11/23/2014,0
5277cb3c71beb,Hotels,636.00,35.11,Hotels.com,flex_offers,11/23/2014,436970460
5277cb3c71beb,Hotels.com,,42.79,Hotels.com,commission_junction,11/23/2014,405904550
5277cb3c71beb,Hotels.com,,28.38,Hotels.com,commission_junction,11/23/2014,405745991
5277cb3c71beb,Hotels.com,,26.18,Hotels.com,commission_junction,11/23/2014,405745991
5277cb3c71beb,Internet Services,158.87,12.71,GoDaddy.com,flex_offers,11/23/2014,436370860
5277cb3c71beb,RENTAL,76.00,0.76,"Dollar Rent-a-Car, Inc.",link_share,11/23/2014,L0484119
5277cb3c71beb,Amazon,75.04,3.00,Amazon,Amazon,11/23/2014,
5283d9bf0caa4,Hanky Panky,120.00,7.20,Hanky Panky,Pepper_Jam,11/23/2014,27144958
5283d9bf0caa4,Hanky Panky,188.01,11.28,Hanky Panky,Pepper_Jam,11/23/2014,34174744
5283d9bf0caa4,BeyondtheRack.com,0.00,0.25,BeyondtheRack.com,link_share,11/23/2014,536279fa56094
5283d9bf0caa4,Department Stores,80.00,12.80,NORDSTROM.com,flex_offers,11/23/2014,434969254
5283d9bf0caa4,Department Stores,54.00,8.64,NORDSTROM.com,flex_offers,11/23/2014,438432608
5283d9bf0caa4,Department Stores,28.14,0.45,NORDSTROM.com,flex_offers,11/23/2014,438432609
5283d9bf0caa4,Department Stores,28.14,0.45,NORDSTROM.com,flex_offers,11/23/2014,438432610
5283d9bf0caa4,Fashion Accessories,24.00,0.96,Macys.com,flex_offers,11/23/2014,435871228
5283d9bf0caa4,Fashion Accessories,75.00,3.00,Macys.com,flex_offers,11/23/2014,435871229
5283d9bf0caa4,Fashion Accessories,36.00,1.44,Macys.com,flex_offers,11/23/2014,435871230
5283d9bf0caa4,Fashion Accessories,21.00,0.84,Macys.com,flex_offers,11/23/2014,435871231
5283d9bf0caa4,Free People,,2.60,Free People,commission_junction,11/23/2014,404612107
5283d9bf0caa4,Gifts / Flowers / Collectibles,74.99,16.00,FTD.com,flex_offers,11/23/2014,436569976
5283d9bf0caa4,GourmetGiftBaskets.com,34.99,1.75,GourmetGiftBaskets.com,link_share,11/23/2014,928670-1072805
5283d9bf0caa4,GourmetGiftBaskets.com,29.99,1.50,GourmetGiftBaskets.com,link_share,11/23/2014,928670-1072814
5283d9bf0caa4,GourmetGiftBaskets.com,123.98,6.20,GourmetGiftBaskets.com,link_share,11/23/2014,935176-1082135
5283d9bf0caa4,GourmetGiftBaskets.com,-12.40,-0.62,GourmetGiftBaskets.com,link_share,11/23/2014,935176-1082135
5283d9bf0caa4,Hotels.com,,19.14,Hotels.com,commission_junction,11/23/2014,405745991
5283d9bf0caa4,Internet Services,12.99,1.04,GoDaddy.com,flex_offers,11/23/2014,436370985
5283d9bf0caa4,macys.com,52.13,1.56,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,11.24,0.34,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,11.24,0.34,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,22.13,0.66,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,43.50,1.31,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,96.00,2.88,macys.com,link_share,11/23/2014,M1002191223
5283d9bf0caa4,macys.com,55.00,1.65,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,22.00,0.66,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,7.00,0.21,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,48.50,1.46,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,15.00,0.45,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,26.00,0.78,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,35.00,1.05,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,macys.com,24.00,0.72,macys.com,link_share,11/23/2014,M1031670354
5283d9bf0caa4,NORDSTROM.com,85.00,1.70,NORDSTROM.com,link_share,11/23/2014,2.01E+22
5283d9bf0caa4,NORDSTROM.com,30.00,0.60,NORDSTROM.com,link_share,11/23/2014,2.01E+22
5283d9bf0caa4,NORDSTROM.com,32.00,0.64,NORDSTROM.com,link_share,11/23/2014,2.01E+22
5283d9bf0caa4,NORDSTROM.com,130.00,2.60,NORDSTROM.com,link_share,11/23/2014,2.01E+22
5283d9bf0caa4,NORDSTROM.com,95.00,1.90,NORDSTROM.com,link_share,11/23/2014,2.01E+22
5283d9bf0caa4,NORDSTROM.com,-130.00,-2.60,NORDSTROM.com,link_share,11/23/2014,2.01E+22
5283d9bf0caa4,NORDSTROM.com,84.95,1.70,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,88.00,1.76,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,88.00,1.76,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,66.00,1.32,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,89.50,1.79,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,67.13,1.34,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,98.00,1.96,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,74.26,1.49,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,39.50,1.98,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,79.00,3.95,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,39.50,1.98,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,39.50,1.98,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,35.00,5.25,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,35.00,5.25,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,149.95,7.50,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,NORDSTROM.com,377.90,45.35,NORDSTROM.com,link_share,11/23/2014,2.01E+23
5283d9bf0caa4,Walgreens,,2.92,Walgreens,commission_junction,11/23/2014,404451132
5283d9bf0caa4,Amazon,552.26,30.04,Amazon,Amazon,11/23/2014,
529e2bf495a06,macys.com,90.00,2.70,macys.com,link_share,11/23/2014,M1000884081
529e2bf495a06,macys.com,-90.00,-2.70,macys.com,link_share,11/23/2014,M1000884081
529e2bf495a06,macys.com,29.99,0.90,macys.com,link_share,11/23/2014,M1000884081
529e2bf495a06,macys.com,-29.99,-0.90,macys.com,link_share,11/23/2014,M1000884081
529e2bf495a06,"Best Buy Co, Inc.",349.99,14.00,"Best Buy Co, Inc.",link_share,11/23/2014,BBY01-674612080384
529e2bf495a06,Fashion Accessories,99.99,4.00,Macys.com,flex_offers,11/23/2014,436375466
529e2bf495a06,Gifts / Flowers / Collectibles,69.99,16.00,FTD.com,flex_offers,11/23/2014,436693710
529e2bf495a06,Gifts / Flowers / Collectibles,59.99,16.00,FTD.com,flex_offers,11/23/2014,437424830
529e2bf495a06,Hotels,109.00,6.02,Hotels.com,flex_offers,11/23/2014,436594798
529e2bf495a06,Hotels.com,,7.65,Hotels.com,commission_junction,11/23/2014,405745991
529e2bf495a06,macys.com,27.00,0.81,macys.com,link_share,11/23/2014,M1036633381
529e2bf495a06,macys.com,25.00,0.75,macys.com,link_share,11/23/2014,M1036633381
529e2bf495a06,macys.com,31.49,0.94,macys.com,link_share,11/23/2014,R1033416219
529e2bf495a06,macys.com,22.49,0.67,macys.com,link_share,11/23/2014,R1033416219
529e2bf495a06,Music / Movies / Games,0.77,0.04,Apple iTunes,flex_offers,11/23/2014,436805932
529e2bf495a06,Services,638.35,10.22,Travelocity,flex_offers,11/23/2014,436681405
529e2bf495a06,Services,371.16,2.40,Travelocity,flex_offers,11/23/2014,436681406
529e2bf495a06,Services,179.63,2.87,Travelocity,flex_offers,11/23/2014,437021628
529e2bf495a06,Amazon,962.00,63.49,Amazon,Amazon,11/23/2014,
52ab7c63df69a,Internet Services,12.99,4.16,GoDaddy.com,flex_offers,11/23/2014,436613530
52ab7c63df69a,Shoes,70.00,4.48,Sanuk Footwear,flex_offers,11/23/2014,436594490
5341b392daa18,Apparel,41.30,0.66,Chico's,flex_offers,11/23/2014,436479388
5341b392daa18,Apparel,80.28,1.29,Chico's,flex_offers,11/23/2014,437062926
5341b392daa18,Apparel,77.41,1.24,Chico's,flex_offers,11/23/2014,437198511
5341b392daa18,Department Stores,59.98,2.40,Target.com,flex_offers,11/23/2014,436925239
5341b392daa18,Amazon,596.90,38.80,Amazon,Amazon,11/23/2014,
534d65ab6a063,AIRCOMPLETE,386.00,8.00,CheapOair.com,link_share,11/23/2014,21654245
534d65ab6a063,Gifts / Flowers / Collectibles,64.19,6.16,1800flowers.com,flex_offers,11/23/2014,436581991
534d65ab6a063,Gifts / Flowers / Collectibles,0.19,0.02,1800flowers.com,flex_offers,11/23/2014,436581992
534d65ab6a063,Gifts / Flowers / Collectibles,34.19,3.28,1800flowers.com,flex_offers,11/23/2014,436581993
534d65ab6a063,Internet Services,20.98,6.71,GoDaddy.com,flex_offers,11/23/2014,436370815
534dbb4c35094,AIR,318.01,4.50,Cheap Tickets,link_share,11/23/2014,PBCTIX1644947384
534dbb4c35094,Booking Buddy,0.35,0.14,Booking Buddy,Pepper_Jam,11/23/2014,32826326
534dbb4c35094,Food / Cooking,8.96,0.50,Starbucks Store Online,flex_offers,11/23/2014,436278064
534dbb4c35094,Food / Cooking,9.71,0.54,Starbucks Store Online,flex_offers,11/23/2014,436278065
534dbb4c35094,Internet Services,58.13,4.65,GoDaddy.com,flex_offers,11/23/2014,436363312
534dbb4c35094,Internet Services,16.38,1.31,GoDaddy.com,flex_offers,11/23/2014,436370920
534dbb4c35094,Internet Services,33.36,2.67,GoDaddy.com,flex_offers,11/23/2014,436661595
534dbb4c35094,Internet Services,8.19,0.66,GoDaddy.com,flex_offers,11/23/2014,436847173
534dbb4c35094,Internet Services,16.38,1.31,GoDaddy.com,flex_offers,11/23/2014,437016197
534dbb4c35094,Amazon,200.35,12.87,Amazon,Amazon,11/23/2014,
536d032995f1e,Airlines,0.35,0.18,Cheapflights.com,flex_offers,11/23/2014,436578047
536d032995f1e,Airlines,0.34,0.18,Cheapflights.com,flex_offers,11/23/2014,436578048
536d032995f1e,Services,94.41,1.51,Travelocity,flex_offers,11/23/2014,437112755
536d032995f1e,Services,178.00,4.27,Travelocity,flex_offers,11/23/2014,437751292
536d032995f1e,Services,42.00,0.67,Travelocity,flex_offers,11/23/2014,437895265
536d032995f1e,Services,42.09,0.67,Travelocity,flex_offers,11/23/2014,438146651
536d032995f1e,Amazon,26.98,1.74,Amazon,Amazon,11/23/2014,
536d34de79a60,NORDSTROM.com,149.00,17.88,NORDSTROM.com,link_share,11/23/2014,2.01E+23
536d34de79a60,Gifts / Flowers / Collectibles,99.99,16.00,FTD.com,flex_offers,11/23/2014,437823660
536d34de79a60,Gifts / Flowers / Collectibles,74.99,16.00,FTD.com,flex_offers,11/23/2014,437823661
536d34de79a60,Office Supplies,62.97,2.38,OfficeMax,flex_offers,11/23/2014,437542020
536d34de79a60,REG123456,0.00,0.25,BeyondtheRack.com,link_share,11/23/2014,538f5508ef2b3
5373a10f61094,"Wal-Mart.com USA, LLC",7.97,0.32,"Wal-Mart.com USA, LLC",link_share,11/23/2014,2.68E+12
5373a10f61094,"Wal-Mart.com USA, LLC",5.94,0.24,"Wal-Mart.com USA, LLC",link_share,11/23/2014,2.68E+12
5373a10f61094,"Wal-Mart.com USA, LLC",5.94,0.24,"Wal-Mart.com USA, LLC",link_share,11/23/2014,2.68E+12
5373a10f61094,"Wal-Mart.com USA, LLC",11.48,0.46,"Wal-Mart.com USA, LLC",link_share,11/23/2014,2.68E+12
5373a10f61094,"Wal-Mart.com USA, LLC",13.23,0.53,"Wal-Mart.com USA, LLC",link_share,11/23/2014,2.68E+12
5373a10f61094,"Wal-Mart.com USA, LLC",7.00,0.28,"Wal-Mart.com USA, LLC",link_share,11/23/2014,2.68E+12
537961c581ef3,macys.com,31.99,0.96,macys.com,link_share,11/23/2014,M1041285821
537961c581ef3,macys.com,34.39,1.03,macys.com,link_share,11/23/2014,M1041285821
537961c581ef3,Amazon,608.69,30.74,Amazon,Amazon,11/23/2014,
